Condition,HNRNPM,RPS13,IKZF1,LSM6,CTDP1,CCNE2,DEFA1,ITGA2,EFNB3,FABP7,TRO,MAP3K8,STAT5B,ZBTB48,RAD51,FOXN3,ARL4A,VIPR1,TGFA,IFT27,SLC38A2,FGFBP1,ORM2,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM1,ADORA2A,SLC26A1,AMMECR1,GPC4,GIT2,SLC22A18,CLOCK,SH3BGR,CLASRP,DDX10,EMP2
SCC,9.73475,12.47134,4.41842,9.36068,6.67372,5.57718,4.30123,8.68987,5.7046,2.90403,4.28271,5.26711,5.7512,6.27163,5.8263,6.24275,9.92608,5.47139,7.70515,8.10307,11.81523,11.51269,2.27861,5.35015,8.75353,4.66309,8.15627,6.99444,5.94348,5.71443,5.11115,7.49494,8.47818,8.54167,6.85274,2.96917,3.77238,5.14923,4.45598,5.19381,5.2408,9.51706,4.97476,5.73328,5.96125,8.5131,6.64055,9.37562,8.48477,9.15078
SCC,9.29114,12.47075,4.71466,8.54597,7.31723,4.65629,4.28772,9.22592,4.00473,3.1156,4.93173,7.04458,5.58458,6.15507,4.60602,6.92919,10.59894,7.0441,7.2693,7.27395,11.55584,9.12843,2.19595,5.84834,8.18541,5.77029,6.7533,7.6292,8.2295,6.3405,5.46325,6.97262,8.18116,4.97322,6.94326,3.08699,4.92816,4.50593,4.4288,5.57413,5.61658,9.31994,5.21877,5.71459,5.95196,8.30727,5.3634,9.84564,7.35966,10.38848
SCC,10.13228,12.57198,4.20591,9.63509,7.40634,6.57199,4.40723,7.62623,3.70993,3.26286,4.95183,6.0114,6.48947,6.73227,6.21707,6.48177,9.81059,7.10979,9.19469,6.42956,10.99628,11.39025,2.57498,5.71951,8.55531,4.22987,8.54255,6.4473,4.24435,5.85949,5.77055,7.26791,8.77012,8.95748,6.93189,3.06209,3.69345,5.08052,4.94139,5.70001,5.50911,9.96894,4.92521,6.61981,6.38687,8.45921,5.77113,9.9957,7.58592,10.55427
SCC,9.47827,12.56367,5.16091,7.79529,7.09692,4.60941,5.17652,6.58682,5.77365,3.35293,4.68622,4.97303,6.78264,7.17879,4.34265,5.68626,7.57234,7.14293,7.86425,7.72329,12.29066,11.3967,2.78427,6.26369,7.8661,3.46196,5.53756,5.01319,5.11655,6.14683,5.74761,10.42692,8.13615,7.8795,6.55216,3.48809,4.15134,3.66896,5.06579,5.48631,5.92057,9.74003,4.93556,6.49503,6.64993,8.86454,4.01254,10.00374,5.57724,10.33265
SCC,9.37818,12.09163,4.67957,9.49566,6.21962,6.28596,4.36359,7.33148,6.91966,3.27358,4.31351,7.29499,5.87628,5.91483,6.52639,5.31659,10.52448,6.11542,6.32565,8.56841,11.59969,9.30619,2.50395,5.32655,9.21915,5.09141,9.48709,8.85227,8.1044,5.31161,5.15925,7.23635,8.52199,9.04042,6.53794,3.02899,3.97023,4.92929,4.83452,5.17895,5.48772,9.18317,5.04974,5.85699,5.32624,8.46215,7.08482,9.55145,8.27839,9.18585
SCC,9.36084,12.48966,5.39395,8.82194,7.26922,5.82811,4.62397,9.87103,4.87768,3.19159,3.98832,5.99418,6.16633,5.85786,5.74662,5.94799,10.62203,4.77262,8.03967,7.97592,12.16146,12.32032,2.44787,5.75872,8.33368,4.85172,7.12751,6.03764,5.09097,5.71487,5.34857,10.20061,8.1478,9.00279,6.33524,4.71017,4.36609,4.78819,4.44162,5.25128,5.42808,8.63947,5.14004,6.87457,5.87728,7.66795,6.50214,9.23781,8.43744,8.75657
SCC,9.51019,12.30245,4.90967,9.11448,6.58945,6.67952,4.61651,8.82984,6.72281,2.89794,4.39943,5.29695,5.95925,6.38593,5.54604,6.08198,9.37768,5.61813,7.39568,7.5429,12.17279,10.31906,2.58863,5.65248,8.7069,4.14115,8.48243,6.93395,6.35389,5.52221,5.4889,8.01076,8.31806,8.3931,6.62592,3.00294,3.46454,5.65979,4.4263,5.56609,5.49205,8.97141,7.06789,6.04887,6.2851,8.43792,8.04769,9.39306,7.95167,9.21184
SCC,9.77509,12.58802,4.42392,9.3193,7.09799,5.45093,4.60228,8.06296,4.49682,2.89791,5.07199,6.55726,6.3397,6.68845,4.22687,6.62062,8.99103,6.43302,8.30272,7.73672,12.04527,10.81876,2.4675,5.80468,8.09103,4.40928,7.29897,5.68659,6.52789,6.06191,5.66206,7.99883,8.3877,7.85705,6.69058,3.16941,4.36218,4.58262,4.65867,5.15864,5.62692,10.03695,5.28279,6.17371,5.7634,7.52546,5.06121,9.39115,8.38528,9.37675
SCC,9.5664,12.9556,4.27858,8.29657,7.32095,5.34666,4.698,7.44506,4.88832,2.96068,4.39184,6.63473,5.97403,5.76,5.19761,6.72849,10.49012,7.15042,7.22056,7.23073,11.15309,11.08737,2.82716,6.00255,8.60802,4.91405,7.34586,6.71964,7.8338,5.61208,5.59435,7.50278,8.50984,7.2257,6.6855,3.13257,4.50499,4.7741,4.59052,5.52836,5.67583,9.69587,5.3127,5.2838,6.3041,8.57458,5.44661,9.89515,6.58566,10.85082
SCC,9.29905,12.58363,4.51214,7.80214,6.85196,5.71581,5.14356,8.04681,3.42729,4.68446,4.49674,5.11733,5.31662,6.41123,4.97246,5.85019,8.54836,5.63341,7.46147,7.30304,12.21608,10.71765,2.48194,5.64434,6.91847,4.18742,7.08,5.79397,5.92566,5.75393,5.60768,6.90589,7.8806,6.68219,6.24633,2.98004,4.17773,4.93173,4.88381,5.21814,5.58607,9.73651,5.59428,6.07034,6.30608,7.18374,4.80871,9.93672,7.6962,9.86736
