Condition,PAMR1,CTSC,PHYHIP,CD24,WNT5A,RAB3B,WIF1,TNNC1,PARK7,MMP14,ARHGEF4,CFL1,SNRPD2,PTMA,DEFA1,ITGA2,EFNB3,FABP7,ZBTB48,TRO,MAP3K8,STAT5B,RAD51,FOXN3,CCNE2,SLC38A2,CTDP1,LSM6,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM2,ORM1,IKZF1,ARL4A,IFT27,TGFA,VIPR1,CLOCK,ITGB4
Healthy,6.30743,9.70823,7.87366,9.82469,6.29106,6.38347,8.50593,6.91937,10.91132,7.32709,6.44643,10.89829,11.88547,12.08842,6.91568,7.89517,5.21866,9.2899,5.92355,4.12495,6.53794,5.97159,4.31323,7.08524,4.47745,10.79008,6.88637,8.77163,4.13046,6.83832,7.50885,8.78427,5.23959,5.44701,8.95938,7.6048,5.97317,6.37022,6.87781,7.54971,5.60253,1.94572,4.20706,4.86145,10.12026,7.32101,7.0476,7.19553,7.79136,8.3937
Healthy,7.09862,10.16527,7.43746,10.46433,6.4714,6.27137,9.20023,5.93113,11.48133,6.59647,6.41302,10.78089,12.00636,12.5398,4.49736,7.4208,6.81271,10.6643,5.42106,3.81347,8.50272,5.23539,5.48274,5.66029,5.18763,10.96552,6.85412,9.4195,4.14349,8.13038,8.00267,9.43469,5.47914,4.94203,7.01471,8.17762,5.84602,6.17903,4.88626,6.82534,5.41279,2.18139,4.17549,4.85575,10.58521,7.66133,6.89303,7.04876,8.10022,7.87838
Healthy,5.93319,8.85037,7.03543,9.81658,6.1508,5.54755,7.48965,5.58926,11.02163,6.5295,7.35016,10.13858,10.78793,12.47183,4.64523,8.50034,5.4979,7.85295,4.59362,4.10679,6.73989,5.36207,6.85251,5.88336,4.74083,11.33622,6.39767,8.33454,6.11687,6.89863,7.62874,9.12656,4.73044,5.00609,5.73756,9.09243,5.64213,6.23743,7.26106,7.79432,5.27661,2.38163,4.15637,4.69343,10.4208,7.36174,5.36855,7.21566,8.08243,7.70592
Healthy,5.75014,10.176,7.6905,10.20262,6.91345,6.31015,7.67276,7.6571,10.91754,7.45898,6.8637,10.79599,11.57306,12.32499,4.63753,8.1948,5.92709,7.65935,6.00454,3.68269,7.08616,5.59877,4.37815,6.86364,5.42237,10.78701,7.23347,8.53952,4.83172,7.06644,7.62698,9.08596,5.29171,5.59011,6.90991,7.51223,6.0285,6.3284,5.50745,6.03216,4.70052,2.43605,4.26083,5.51166,10.06847,7.42601,7.75518,6.81446,7.8646,8.68713
Healthy,6.06186,9.21895,8.18113,8.4672,5.53222,6.95876,9.12504,6.91202,10.97299,7.61334,6.65413,10.80307,11.91471,12.266,4.49341,8.28193,5.00952,7.66705,5.96512,3.66311,5.91735,5.44085,5.0051,7.05781,3.49061,11.1407,7.0618,8.67949,3.95131,7.2028,6.77918,9.24687,5.20892,4.9801,9.24637,7.67945,5.0843,6.55579,5.33439,7.22178,5.23251,2.06582,4.11132,4.70493,9.9493,7.39521,6.9159,6.83211,7.58649,8.42002
Healthy,6.79282,9.58981,8.41343,8.64023,5.311,6.03686,9.92988,7.61272,11.00147,7.47862,7.11347,10.88165,11.94668,12.35173,6.11794,8.15618,6.73086,9.88322,6.06488,4.18649,7.02013,5.75178,4.39677,7.27836,4.30066,11.16157,6.94102,8.24135,3.78434,6.76852,7.04386,8.89223,5.57461,5.20596,6.44276,8.42031,4.78364,6.76408,3.53969,6.40508,5.318,2.04126,4.40706,5.43755,10.32381,7.33015,7.14126,7.04913,7.61885,8.51892
Healthy,5.89347,9.5491,7.95767,9.22275,7.01607,6.28252,8.70957,7.8723,11.02542,7.48546,6.79432,10.76255,11.72795,12.25451,6.3649,8.28194,5.80458,10.05292,6.61091,3.89972,7.21713,6.2438,3.49218,6.79594,4.41473,11.05824,7.13137,8.76411,2.92486,7.15344,7.41464,9.3018,5.55009,5.19107,6.51018,7.61452,6.38228,6.78225,6.18816,6.94675,6.02198,2.45284,4.17369,4.87028,10.34563,7.92148,8.12621,7.76323,7.872,8.06685
Healthy,7.1442,9.66734,8.88541,10.0294,7.04168,6.70136,7.47657,7.97478,11.0312,7.80214,6.61551,11.00567,11.62823,12.26952,5.66996,8.382,6.3365,9.43716,6.21101,3.92122,6.40963,5.71543,4.33713,6.78447,3.78207,10.78417,7.12977,9.10034,3.06729,7.24362,7.91009,9.47492,5.41585,5.01065,6.76018,7.74225,6.10953,6.62276,6.40428,6.96003,5.57133,2.11748,4.43055,5.26913,10.29389,7.47188,7.6712,6.98397,7.73912,8.66568
Healthy,7.723,9.72553,8.30284,9.60021,6.56509,6.40227,8.57406,7.10336,10.83083,7.58945,6.92811,11.10968,11.93954,12.2349,4.25945,8.58252,5.92739,10.60416,6.15255,3.98455,7.08817,5.87061,4.26029,6.82758,4.34919,11.1583,7.01759,9.01258,3.66084,7.00322,7.46986,8.66371,5.27086,5.25578,8.8577,7.97967,5.06103,6.09059,5.8829,6.8189,4.94505,2.40003,3.97271,4.70028,9.98869,7.47151,6.87443,6.96729,7.79196,8.39338
Healthy,6.00144,9.51334,7.15898,10.41466,6.24433,6.87653,6.85997,8.05358,10.94607,7.4602,5.18731,10.78943,11.64071,12.16367,5.45769,8.00096,4.63266,4.91336,6.14764,3.71423,5.43008,6.28977,3.62349,5.87268,3.02179,10.64059,6.51269,8.81286,3.6644,6.14503,7.9623,9.93773,5.24757,5.04861,5.33944,7.76752,3.02777,6.56114,8.7478,10.06308,6.65209,2.05259,4.26278,4.37422,9.96969,7.73656,6.79769,7.84025,7.96148,9.2065
Healthy,7.11151,9.48559,8.54254,9.81475,7.0364,6.62664,10.16602,7.43164,10.67569,7.67281,6.9657,10.84959,11.75172,12.11624,3.57705,7.82432,5.3256,9.86398,5.74107,3.64338,6.35155,5.2661,4.04823,7.40799,4.65859,11.0412,7.08643,8.68346,3.36801,6.42617,7.29792,8.98387,5.59748,5.1725,6.50884,7.96922,4.97077,6.41381,7.16945,8.15868,5.38215,2.30756,4.32595,5.02671,10.37561,7.62511,7.03126,6.65281,8.20711,8.71473
Healthy,6.03612,9.36164,9.04492,8.97784,4.97351,6.3686,10.06095,6.76659,10.72769,7.23009,7.03916,10.68016,11.74797,12.46112,4.31576,7.952,5.43771,6.20322,6.85539,4.12142,6.99737,5.84459,4.64476,7.12115,3.86392,11.25935,7.26986,8.92649,3.75997,6.35579,6.52709,8.95573,5.39726,5.22604,6.59337,8.46007,5.43978,6.65701,6.63825,6.91292,4.49591,2.03598,4.45596,4.59863,10.23291,6.67303,6.92718,7.47938,8.16636,8.83853
Healthy,6.03728,9.18375,9.29942,10.16573,7.59233,6.54535,8.94994,8.98941,10.6823,7.8516,6.98258,10.71997,11.8059,12.23683,6.41342,8.0961,5.53993,10.52692,6.45904,3.78073,7.14476,5.82682,3.73037,7.45484,4.32859,11.33797,7.07589,9.12168,3.71362,6.71083,7.11702,9.01809,5.45211,4.95091,6.46234,7.89804,5.87724,6.51255,4.61245,5.22511,4.63706,2.483,4.23388,4.54694,10.02017,7.06728,8.23746,7.63944,7.18458,8.49147
Healthy,6.13282,9.96446,8.13951,10.0505,6.05513,6.63444,9.23139,7.2092,10.88293,7.02866,7.02539,11.01997,11.92127,12.07937,4.39802,8.04251,5.46021,11.04038,6.11238,3.73787,6.47852,6.09696,4.12069,6.45554,3.70033,10.68774,6.92618,8.81781,3.45128,6.97108,7.71504,8.94054,5.74775,5.59036,6.30575,7.13974,5.83412,6.57779,6.07982,6.30195,4.94961,2.1085,4.24568,5.31771,10.09316,7.38223,7.5113,6.9777,8.11252,8.60631
Healthy,6.46889,8.91567,8.68316,9.54724,5.88399,7.53399,8.32006,7.47427,10.58032,7.45364,7.825,10.89833,11.77207,12.14252,4.21174,8.67315,5.35179,8.89196,6.17398,4.01615,6.80281,6.07041,3.93272,6.88405,3.52388,11.17082,7.08799,8.60379,4.43111,6.61273,7.11654,8.99711,5.45813,5.33899,8.42731,7.92773,5.88292,6.34867,8.03304,8.21129,4.73767,2.24297,4.15364,4.45904,10.2488,7.32769,7.1066,8.01256,7.6855,9.57907
Healthy,6.65191,9.97373,8.16998,9.22259,6.83168,6.58025,8.37075,7.16932,10.95084,7.33704,6.73165,10.87705,11.76933,12.17519,4.31239,8.03859,5.53179,9.86165,6.56992,3.45966,6.09382,5.28919,4.15236,6.16449,4.05993,10.88307,6.71011,8.56898,3.94761,6.92834,7.81343,9.22663,5.32648,4.91456,7.09912,7.95998,5.46135,6.32908,7.5147,8.30948,5.51871,2.26281,4.62557,5.2269,10.30581,7.31716,6.94716,7.33119,7.94854,8.41041
Healthy,7.90733,10.52183,9.10598,9.0788,5.87002,5.53828,10.59327,6.05545,10.87127,7.36761,6.94949,10.98387,12.04991,12.26333,5.26249,8.27044,5.47988,5.63774,6.89448,3.7374,6.59594,6.01272,4.09418,7.51517,3.81792,11.42569,6.87667,8.95444,3.7447,7.26177,7.74798,9.10435,5.38246,4.86222,6.26412,7.98932,6.37747,6.30765,6.42301,7.22335,4.95371,2.3506,4.50917,5.53997,10.62868,7.61417,7.63243,6.74694,7.99022,9.14711
Healthy,6.65332,9.98801,8.47017,8.73957,6.24869,6.12631,9.5212,7.02663,10.98313,7.90612,6.922,11.11124,11.90776,12.26061,4.23353,8.13604,5.35,9.17284,6.22099,3.53596,6.38333,5.92479,5.10233,7.00995,4.21667,11.22064,7.07558,8.93215,4.49778,7.06451,7.10307,9.04282,5.46107,5.23603,8.77192,8.12288,6.35808,6.19068,6.41325,6.86229,5.34968,2.16618,4.12339,4.59863,10.10588,7.79253,7.5476,7.35089,8.01004,8.94651
Healthy,7.93049,9.70243,6.6476,9.33405,5.59357,6.04992,9.53579,6.34267,10.77819,8.61963,5.72563,10.87576,11.70185,11.92202,5.37812,8.01969,3.50985,6.18666,5.27476,4.30275,6.46188,6.00981,3.43929,6.77795,3.55991,10.68388,6.69443,8.59043,4.1538,6.75086,7.82968,9.45191,5.6355,5.47493,5.51072,8.13952,3.96761,6.19136,8.67727,9.24982,5.86641,1.99743,4.14917,4.33466,8.54136,7.8435,5.65304,6.77869,7.82668,8.24471
