Condition,PAMR1,CTSC,PHYHIP,CD24,WNT5A,RAB3B,WIF1,TNNC1,PARK7,MMP14,ARHGEF4,CFL1,SNRPD2,PTMA,DEFA1,ITGA2,EFNB3,FABP7,ZBTB48,TRO,MAP3K8,STAT5B,RAD51,FOXN3,CCNE2,SLC38A2,CTDP1,LSM6,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM2,ORM1,IKZF1,ARL4A,IFT27,TGFA,VIPR1,CLOCK,ITGB4
AK,5.52567,9.24621,5.17207,11.59149,7.67028,5.08945,6.18595,5.6249,11.14844,7.62563,7.57966,11.35689,12.1403,11.9683,4.87799,8.85153,5.59699,6.27218,5.71142,3.77524,6.71588,5.73083,3.78981,6.71155,5.48283,11.38233,6.79968,8.33392,3.60258,6.68022,7.05215,8.17566,5.57747,5.3252,8.82331,8.60345,6.11304,6.44838,6.71454,7.24529,4.59641,2.00137,4.25557,4.91288,9.17583,8.08709,7.89934,6.89579,8.27424,9.44168
AK,5.72575,10.688,5.98561,10.39724,8.20725,5.02148,6.09527,6.56273,11.40777,8.08761,6.85312,11.1448,11.70464,12.38696,4.34877,7.535,5.66421,5.23903,5.75633,3.83623,7.63851,5.71438,3.99121,6.23437,4.85602,10.95454,7.46281,8.84688,4.13887,6.55419,7.48717,8.85144,5.40686,5.13985,6.85743,7.87351,5.9889,6.20381,7.85386,8.70161,6.18987,3.07227,4.84447,4.98367,9.87791,7.52214,7.02711,7.76029,7.91601,9.42668
AK,4.47906,10.22543,5.4074,10.31718,8.95339,5.58155,5.53997,6.00744,11.09624,7.66954,7.2373,11.06055,11.77424,12.14641,4.87381,8.26967,5.7252,6.19726,6.49691,3.8611,7.0536,5.97245,4.37066,7.00167,5.11339,10.95981,7.61231,8.75511,3.84931,6.51597,7.79161,8.36063,5.75814,5.52621,7.53585,8.39235,6.43528,6.69542,4.18065,7.22768,4.89229,2.19333,4.38888,4.78967,10.19167,7.59867,7.84334,6.72832,7.80864,8.8994
AK,4.43397,10.54652,6.72351,10.54435,8.67642,6.32531,4.7157,6.26178,11.15754,7.7274,6.91077,10.905,11.93668,12.21524,4.30229,8.77668,5.50634,5.25809,5.86737,3.61825,7.80604,5.7682,4.17707,7.35539,4.97672,11.26461,7.32728,8.71817,4.72416,7.36102,7.15174,8.70972,5.35377,5.13068,9.75445,7.51511,6.34789,6.55172,4.62875,6.41926,4.68743,2.10703,4.25732,4.72866,10.54061,7.6579,6.67359,6.46321,8.15344,8.93713
AK,4.88402,9.95688,6.58022,11.54563,7.94962,5.90095,7.4051,6.53457,11.38808,6.7542,7.44762,11.3559,12.06439,12.34717,4.61597,7.35391,6.72012,5.94766,6.42392,4.11395,7.07009,5.62752,3.38541,5.51068,5.04398,10.13673,7.41625,8.9177,4.32292,7.2858,6.66852,6.97591,5.65121,5.50925,7.21227,8.11797,4.50047,5.92266,5.22651,6.75252,3.66128,2.30503,4.58784,4.30509,10.64171,8.06383,6.97216,7.39383,6.37781,8.93303
AK,4.39691,10.20182,5.60426,10.99134,9.62851,5.16253,4.05182,5.81453,11.10966,7.58497,7.75547,11.4074,11.8893,12.16179,4.72268,7.18409,5.09672,3.3771,6.21202,4.21763,8.18278,5.86282,3.89759,6.58682,5.66592,10.36757,7.56862,8.15419,3.66411,6.32357,6.41335,8.12695,5.49447,5.49237,6.08207,8.22149,6.54008,6.39632,4.17178,7.37433,4.21424,2.74367,4.79296,5.07838,9.75719,7.06687,6.78682,7.72636,7.96342,7.43225
AK,6.21395,10.83357,6.18616,11.27758,8.52469,5.36552,8.20725,6.18255,11.27179,7.8598,6.68851,11.04323,11.75298,12.37139,5.3806,8.5137,4.4791,6.46437,5.80361,3.56884,7.39495,5.22724,4.37929,6.24599,5.70383,11.06313,7.24071,8.69189,4.44991,7.25442,7.16448,9.40046,5.39581,5.05818,6.66286,7.78976,7.41635,6.38107,5.88642,6.97393,5.2579,1.75375,4.28749,5.56466,10.1958,7.54167,7.52497,7.2424,8.04282,8.91994
AK,3.54448,10.33932,6.71476,10.63257,8.44199,5.22259,4.26641,6.03319,11.37517,7.37858,6.4704,10.94839,11.90083,12.21003,4.3266,8.25384,6.12151,10.20004,5.70008,3.92005,6.12577,6.02883,4.93954,5.96336,3.79187,10.76498,6.65775,8.86677,2.9931,7.29115,7.9859,8.05955,5.53854,5.57572,9.27073,7.44947,7.53617,6.50186,5.53169,6.39727,5.05783,2.37334,4.43151,5.51774,10.09603,8.3051,7.83717,6.18412,8.34735,8.76631
AK,4.72596,10.12293,5.59974,11.76808,8.83296,5.52367,5.88269,6.01148,10.77031,7.41568,7.45327,11.15776,12.07101,12.04078,3.95563,7.87932,6.45536,3.46369,5.88119,3.82801,7.20269,5.58911,5.16707,6.7118,4.67871,10.83846,7.42795,8.26211,4.79491,6.40751,7.30506,8.25296,5.43666,5.4803,6.30744,8.39035,6.46492,6.16981,7.28796,7.63824,4.84852,2.20993,4.01503,4.38424,9.78772,7.40635,7.64293,7.55145,8.03859,9.28598
AK,3.81037,10.84307,5.34789,11.45587,8.46272,5.30371,3.55577,6.00807,11.11043,7.97524,7.14778,11.0744,11.97826,12.37617,5.3449,7.99968,5.23804,6.15175,6.99533,3.68756,5.2919,5.67732,5.44701,5.77044,7.73219,11.15875,6.79389,8.83686,4.10819,7.67964,6.62465,8.45032,5.55722,5.50371,7.88629,7.92554,8.29448,6.57143,5.88727,5.88653,4.11094,2.42084,3.81,5.42904,9.58636,7.24257,6.32471,7.18597,8.3061,9.10216
