Condition,GTSE1,CHTOP,EDNRB,DNAJC8,S100A11,HNRNPM,TUG1,TFG,GAPDH,RPS3A,EMP2,ITGA2,IKZF1,IFT27,LSM6,CTDP1,CCNE2,DEFA1,FABP7,EFNB3,ORM2,TRO,OAS2,MAP3K8,STAT5B,ZBTB48,ORM1,GNE,FOXN3,CFTR,IDUA,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,CSTA,ASNS,CENPE,AKAP10,GABRP,RAD51,ARL4A,AMMECR1,VIPR1,GNAZ
SCC,6.29641,11.44164,6.60133,8.94652,11.74285,9.73475,9.60135,9.2979,12.92643,13.23168,9.15078,8.68987,4.41842,8.10307,9.36068,6.67372,5.57718,4.30123,2.90403,5.7046,2.27861,4.28271,9.93764,5.26711,5.7512,6.27163,4.45598,5.14923,6.24275,3.77238,5.43207,5.35015,8.75353,4.66309,8.15627,6.99444,5.94348,5.71443,5.11115,7.49494,13.10233,8.47818,8.54167,6.85274,2.96917,5.8263,9.92608,9.51706,5.47139,5.80845
SCC,4.3137,11.38297,7.74323,8.70847,11.52242,9.29114,9.72387,9.20896,11.5854,13.23417,10.38848,9.22592,4.71466,7.27395,8.54597,7.31723,4.65629,4.28772,3.1156,4.00473,2.19595,4.93173,8.84695,7.04458,5.58458,6.15507,4.4288,4.50593,6.92919,4.92816,5.61143,5.84834,8.18541,5.77029,6.7533,7.6292,8.2295,6.3405,5.46325,6.97262,13.39507,8.18116,4.97322,6.94326,3.08699,4.60602,10.59894,9.31994,7.0441,5.32229
SCC,7.06888,11.53157,5.64425,9.01475,11.69163,10.13228,9.66517,9.41462,12.53256,13.33026,10.55427,7.62623,4.20591,6.42956,9.63509,7.40634,6.57199,4.40723,3.26286,3.70993,2.57498,4.95183,9.02461,6.0114,6.48947,6.73227,4.94139,5.08052,6.48177,3.69345,5.78933,5.71951,8.55531,4.22987,8.54255,6.4473,4.24435,5.85949,5.77055,7.26791,13.08138,8.77012,8.95748,6.93189,3.06209,6.21707,9.81059,9.96894,7.10979,5.203
SCC,5.92864,11.54517,7.50892,8.79423,12.16479,9.47827,8.60298,9.25802,12.78282,13.53712,10.33265,6.58682,5.16091,7.72329,7.79529,7.09692,4.60941,5.17652,3.35293,5.77365,2.78427,4.68622,8.85193,4.97303,6.78264,7.17879,5.06579,3.66896,5.68626,4.15134,6.1829,6.26369,7.8661,3.46196,5.53756,5.01319,5.11655,6.14683,5.74761,10.42692,13.65836,8.13615,7.8795,6.55216,3.48809,4.34265,7.57234,9.74003,7.14293,5.90479
SCC,6.33896,11.91076,8.20985,9.23499,11.11658,9.37818,10.25866,9.27558,10.52822,13.30166,9.18585,7.33148,4.67957,8.56841,9.49566,6.21962,6.28596,4.36359,3.27358,6.91966,2.50395,4.31351,9.16777,7.29499,5.87628,5.91483,4.83452,4.92929,5.31659,3.97023,5.35567,5.32655,9.21915,5.09141,9.48709,8.85227,8.1044,5.31161,5.15925,7.23635,11.44616,8.52199,9.04042,6.53794,3.02899,6.52639,10.52448,9.18317,6.11542,6.20927
SCC,7.01231,11.38971,6.44395,8.9197,11.54539,9.36084,9.64614,9.73753,12.91108,13.48164,8.75657,9.87103,5.39395,7.97592,8.82194,7.26922,5.82811,4.62397,3.19159,4.87768,2.44787,3.98832,9.45536,5.99418,6.16633,5.85786,4.44162,4.78819,5.94799,4.36609,5.74514,5.75872,8.33368,4.85172,7.12751,6.03764,5.09097,5.71487,5.34857,10.20061,10.24685,8.1478,9.00279,6.33524,4.71017,5.74662,10.62203,8.63947,4.77262,5.49158
SCC,6.65708,11.82485,6.5412,9.25678,11.71265,9.51019,9.05452,9.05299,12.88184,13.40966,9.21184,8.82984,4.90967,7.5429,9.11448,6.58945,6.67952,4.61651,2.89794,6.72281,2.58863,4.39943,10.55908,5.29695,5.95925,6.38593,4.4263,5.65979,6.08198,3.46454,5.42262,5.65248,8.7069,4.14115,8.48243,6.93395,6.35389,5.52221,5.4889,8.01076,10.75632,8.31806,8.3931,6.62592,3.00294,5.54604,9.37768,8.97141,5.61813,6.0823
SCC,6.63449,11.42867,7.53006,8.68177,12.17602,9.77509,10.07085,9.738,12.57004,13.25205,9.37675,8.06296,4.42392,7.73672,9.3193,7.09799,5.45093,4.60228,2.89791,4.49682,2.4675,5.07199,9.21413,6.55726,6.3397,6.68845,4.65867,4.58262,6.62062,4.36218,5.73953,5.80468,8.09103,4.40928,7.29897,5.68659,6.52789,6.06191,5.66206,7.99883,13.6071,8.3877,7.85705,6.69058,3.16941,4.22687,8.99103,10.03695,6.43302,5.81065
SCC,6.18371,11.45036,8.19273,8.84082,11.98116,9.5664,9.32279,9.26614,12.64854,13.37813,10.85082,7.44506,4.27858,7.23073,8.29657,7.32095,5.34666,4.698,2.96068,4.88832,2.82716,4.39184,8.43279,6.63473,5.97403,5.76,4.59052,4.7741,6.72849,4.50499,5.89675,6.00255,8.60802,4.91405,7.34586,6.71964,7.8338,5.61208,5.59435,7.50278,13.4651,8.50984,7.2257,6.6855,3.13257,5.19761,10.49012,9.69587,7.15042,5.72616
SCC,6.12047,11.31704,6.91701,8.78978,12.00168,9.29905,10.26159,9.67638,12.73489,12.39828,9.86736,8.04681,4.51214,7.30304,7.80214,6.85196,5.71581,5.14356,4.68446,3.42729,2.48194,4.49674,10.62925,5.11733,5.31662,6.41123,4.88381,4.93173,5.85019,4.17773,5.81437,5.64434,6.91847,4.18742,7.08,5.79397,5.92566,5.75393,5.60768,6.90589,13.10986,7.8806,6.68219,6.24633,2.98004,4.97246,8.54836,9.73651,5.63341,5.91286
SCC,6.77812,11.64437,7.43667,8.82969,11.11804,9.53935,10.04558,8.95863,11.97829,13.14275,10.71226,8.51285,4.23833,7.52702,8.83477,6.79963,7.87585,4.65923,3.18482,3.60445,2.2435,4.61726,7.75027,6.73866,5.54664,7.09035,4.69563,4.63569,6.63904,3.53515,5.61082,5.32075,8.16147,5.46261,9.04612,6.88559,7.45453,5.70709,5.23093,7.99782,12.99322,7.82885,8.7235,6.44293,3.42632,5.62407,10.51241,8.62472,7.39366,5.59558
SCC,6.80668,11.62718,7.01224,8.94282,11.62834,9.96553,9.51678,8.88217,12.28429,13.35094,10.70902,8.07129,5.0691,6.94441,9.38051,7.15979,9.46432,4.94369,3.49147,3.79922,2.32582,4.34178,10.65243,7.50374,5.06412,6.7904,4.78939,5.22253,6.041,4.00548,5.44954,5.39177,8.5902,3.42907,8.95564,7.65163,6.92942,5.37712,5.45086,9.58175,13.15006,10.27242,8.85916,6.05267,2.9278,6.28043,8.97143,9.3786,6.63976,5.79862
